-210,-260
-186.459432206,-260.161209867,-1.08362399973
-185.96874182,-260.170498548,-1.08531449975
-185.495605362,-260.179330385,-1.05346899979
-185.013025804,-260.188418012,-1.10419049974
-184.513231745,-260.1982752,-1.15554849975
-184.030669144,-260.208222588,-1.20626999973
-183.548445761,-260.218451554,-1.22409199973
-183.057779621,-260.228943196,-1.22578249972
-182.558667795,-260.239559867,-1.21134149972
-182.076775587,-260.249686067,-1.19626399973
-181.577328156,-260.260195905,-1.21472249973
-181.103882512,-260.270239243,-1.21577649972
-180.621660833,-260.280548219,-1.23359849971
-180.122220357,-260.2913835,-1.25205699971
-179.631559396,-260.302114626,-1.25374749973
-179.166566553,-260.312361003,-1.27093299969
-178.675909154,-260.323253776,-1.27262349971
-178.167700342,-260.334700004,-1.30784999971
-177.685495852,-260.34578389,-1.32567199971
-177.202964914,-260.357164064,-1.37639349956
-176.720774028,-260.368824808,-1.39421549953
-176.229811492,-260.380922365,-1.42880549966
-175.747631475,-260.393024194,-1.44662749966
-175.27423036,-260.404983719,-1.44768149952
-174.774833856,-260.417685055,-1.46613999951
-174.292661827,-260.430101075,-1.48396199951
-173.819268605,-260.442369069,-1.48501599968
-173.345546005,-260.45479042,-1.51896949982
-172.854940359,-260.467807166,-1.52065999936
-172.372780363,-260.480681992,-1.53848199967
-171.89906956,-260.493545395,-1.5724354998
-171.408147028,-260.507170043,-1.60702549962
-170.916903715,-260.521241547,-1.67451499971
-170.426006237,-260.535740813,-1.70910499952
-169.95233584,-260.550014836,-1.74305849966
-169.461456059,-260.565101356,-1.77764849947
-168.97935866,-260.580138675,-1.79547049978
-168.479719903,-260.596025071,-1.84682849941
-167.997641012,-260.611644473,-1.86465049941
-167.524011112,-260.627204353,-1.89860399955
-167.041946532,-260.64325938,-1.91642599953
-166.551114647,-260.65983115,-1.95101599967
-166.060292856,-260.676699236,-1.98560599949
-165.586696859,-260.693258947,-2.01955949962
-165.104667247,-260.710331611,-2.0373814993
-164.157192609,-260.74487166,-2.13818799951
-163.692413326,-260.762294347,-2.15537349951
-163.210097771,-260.780660625,-2.20609499977
-162.727798663,-260.79945387,-2.25681649941
-162.237073892,-260.81894133,-2.29140649954
-161.738245831,-260.838838434,-2.27696549958
-161.26506774,-260.857657054,-2.27801949945
-160.783120047,-260.876903962,-2.29584149975
-160.300850968,-260.896452643,-2.34656299939
-159.327920872,-260.937047101,-2.43187449947
-158.846026599,-260.9575881,-2.44969649947
-158.372907392,-260.977833134,-2.45075049933
-156.918187491,-261.041406523,-2.5538839994
-156.453546845,-261.062200818,-2.5710694994
-155.507396716,-261.104703968,-2.57317749912
-155.025554567,-261.126433352,-2.59099949943
-154.552159975,-261.147996113,-2.62495299956
-153.605409541,-261.191963218,-2.6928599992
-153.123613833,-261.214699052,-2.71068199951
-152.65059175,-261.237098953,-2.71173599937
-152.168477275,-261.260147748,-2.76245749932
-151.669177777,-261.284463938,-2.81381549927
-151.187105131,-261.308371643,-2.86453699922
-150.722257937,-261.331835027,-2.91462199949
-150.266196152,-261.355187752,-2.9479389993
-149.802035471,-261.379026672,-2.93222499935
-149.303461142,-261.404501505,-2.91778399938
-148.804880408,-261.429850674,-2.90334299943
-148.349466447,-261.452818169,-2.87086099933
-147.884947951,-261.47618266,-2.88804649933
-147.394793363,-261.500917548,-2.88973699951
-146.922169614,-261.524643083,-2.85789149941
-146.449206645,-261.54825824,-2.85894549927
-145.97624411,-261.571882097,-2.85999949945
-145.486077473,-261.596377046,-2.86168999931
-145.030320592,-261.619160851,-2.86210749949
-144.565798532,-261.642454374,-2.87929299948
-144.092518429,-261.666398818,-2.91324649961
-143.163204292,-261.714238227,-2.98051699924
-142.707169667,-261.738115447,-3.01383399906
-142.233947094,-261.763171172,-3.04778749919
-141.75230147,-261.788891108,-3.0656094995
-141.288190726,-261.813683242,-3.04989549923
-140.841274933,-261.837431436,-3.03354499927
-140.385914341,-261.861433778,-3.00106299918
-139.921775963,-261.885703052,-2.98534899922
-139.457305081,-261.909995694,-3.00253449922
-138.984403235,-261.934804768,-3.00358849939
-138.537142317,-261.958337579,-3.02013749939
-138.081124312,-261.982530144,-3.05345449952
-137.607919179,-262.007913101,-3.08740799902
-137.151929892,-262.032641056,-3.12072499947
-136.678754887,-262.058579581,-3.15467849928
-136.205595336,-262.084798505,-3.18863199941
-135.723689403,-262.11185929,-3.23935349905
-135.250894139,-262.138622778,-3.24040749922
-134.769337703,-262.165961788,-3.25822949922
-134.287789793,-262.193450586,-3.27605149922
-133.814686845,-262.220671772,-3.31000499903
-133.006102109,-262.267880875,-3.37281999929
-132.53304581,-262.295901059,-3.40677349911
-132.0600062,-262.324201572,-3.44072699925
-131.57854829,-262.353224045,-3.45854899923
-131.096775185,-262.382554752,-3.50927049918
-130.61535234,-262.412153177,-3.52709249918
-130.150807545,-262.440990261,-3.57717749914
-129.6781783,-262.470540935,-3.57823149931
-129.196467514,-262.50087793,-3.62895299926
-128.689482348,-262.533042285,-3.63127999912
-128.199689847,-262.564133136,-3.63297049929
-127.718332025,-262.59477087,-3.65079249929
-127.219792925,-262.626660652,-3.66925099929
-126.754997192,-262.656805161,-3.75223549919
-126.299001637,-262.686975196,-3.81845199928
-125.808990204,-262.719828801,-3.8530419991
-125.318998696,-262.752978224,-3.88763199891
-124.829350203,-262.786260179,-3.88932249909
-124.356888961,-262.818385267,-3.89037649895
-123.884428311,-262.850519045,-3.89143049912
-123.403213593,-262.883327855,-3.90925249912
-122.930440363,-262.915775742,-3.94320599925
-122.423639235,-262.950720285,-3.94553299912
-121.942455712,-262.983983476,-3.96335499912
-121.452528935,-263.018076229,-3.99794499924
-120.971376041,-263.051779574,-4.01576699892
-120.490233653,-263.085632581,-4.03358899892
-120.000671533,-263.120161773,-4.0352794991
-119.502357654,-263.15539629,-4.05373799909
-118.995302795,-263.191487606,-4.08896449922
-118.513881567,-263.226117295,-4.13968599917
-118.023739907,-263.261882542,-4.20717549895
-117.559892629,-263.296073702,-4.22436099894
-117.078876677,-263.331678153,-4.24218299925
-116.589443509,-263.367989437,-4.2438734988
-116.091261209,-263.405037905,-4.26233199911
-115.610591016,-263.440798304,-4.24725449915
-114.665464808,-263.511550971,-4.31516149909
-114.158901212,-263.549784831,-4.31748849895
-113.661088451,-263.58730528,-4.303047499
-113.180443792,-263.623407244,-4.28796999904
-112.691039798,-263.660109639,-4.28966049921
-112.218814553,-263.695535104,-4.29071449907
-111.711913305,-263.733723294,-4.3259409992
-111.222212086,-263.770915758,-4.36053099902
-110.758457984,-263.806348309,-4.37771649902
-110.277217391,-263.843403754,-4.42843799896
-109.796331306,-263.880721265,-4.44625999896
-109.30670927,-263.918942,-4.48084999909
-108.800258358,-263.958640584,-4.48317699895
-108.319408145,-263.996417505,-4.50099899895
-107.855742304,-264.032986901,-4.51818449894
-107.366489731,-264.071655421,-4.51987499912
-106.868812609,-264.110934061,-4.50543399884
-106.388298471,-264.148733583,-4.4903564992
-105.899027175,-264.187164473,-4.49204699875
-104.928298847,-264.264154067,-4.57735849914
-104.438765546,-264.303495005,-4.61194849896
-103.975171389,-264.340962191,-4.62913399896
-103.502843149,-264.379347427,-4.66308749909
-103.013689934,-264.419253158,-4.66477799864
-102.508009813,-264.460232737,-4.60130599922
-101.970503458,-264.501955957,-4.2759109989
-101.467454102,-264.537980806,-3.91634349894
-100.938888899,-264.57227611,-3.5083814989
-100.401980323,-264.603044947,-3.05138849939
-99.8732831538,-264.629188906,-2.6105269997
-99.3356316188,-264.651708896,-2.18643349952
-98.8153720373,-264.669491469,-1.7288039997
-98.31220714,-264.682664414,-1.27053799987
-97.8008375526,-264.691741191,-0.763240999965
-97.2296169496,-264.696586888,-0.208822499967
-96.6671561037,-264.695833245,0.36236399986
-96.1128403216,-264.689801435,0.884519499902
-95.5754887328,-264.679207307,1.37441199968
-95.0382473671,-264.664019138,1.86430449946
-94.4846193367,-264.643313758,2.41935949946
-93.9393107104,-264.617861187,2.92538349937
-93.377390361,-264.586498806,3.46367049924
-92.8070228379,-264.549370573,3.98518949897
-91.72698939,-264.464689725,4.98110599866
-91.1322474749,-264.410044671,5.51811999883
-90.5719729816,-264.353422395,6.02350749875
-89.9954462811,-264.289851344,6.56115799861
-89.4282689362,-264.221834307,7.1155764983
-88.8363277522,-264.144948968,7.68548999844
-88.2364733263,-264.061049916,8.23863549813
-87.637456821,-263.971363742,8.79178099813
-87.0393340663,-263.875898806,9.34492649781
-86.4504742201,-263.7761586,9.88194049767
-85.862575056,-263.67090367,10.4189544975
-85.2926160822,-263.563334702,10.9566049977
-84.7154230379,-263.448696696,11.5103869974
-84.1397259824,-263.328388224,12.0970684971
-83.5652909867,-263.202191298,12.683749997
-82.9918153323,-263.070208888,13.237531997
-82.4367545764,-262.936630966,13.8248499967
-81.8745569318,-262.795311057,14.3953999965
-81.3223087526,-262.650544167,14.9827179964
-80.7387045093,-262.490973611,15.6016624963
-80.1980929379,-262.336938553,16.2057484961
-79.6587697604,-262.177272397,16.7769349963
-79.1375338381,-262.0172892,17.3487579961
-78.6095287413,-261.849529471,17.9038129961
-78.099905498,-261.681992517,18.4924039957
-77.5840586253,-261.506436507,19.0971264955
-77.0542124536,-261.319685848,19.7341119955
-76.5261065276,-261.127093529,20.3381979953
-75.9914448626,-260.925963318,20.8926164953
-75.4355896139,-260.71024438,21.5283289954
-74.8899708876,-260.491591269,22.147909995
-74.3545230213,-260.270352736,22.7513594947
-73.8055832028,-260.036744745,23.3541724948
-73.2595057834,-259.797351409,23.9898849942
-72.7161180567,-259.551914052,24.6255974943
-72.1827367985,-259.304112395,25.2122789942
-71.6367479963,-259.043434618,25.8312234941
-71.1086987101,-258.784465162,26.4179049938
-70.5833287835,-258.520102402,27.0045864937
-70.060319435,-258.250371232,27.5583684938
-69.5250831669,-257.967559342,28.1444134934
-68.5302913601,-257.423135092,29.2371189933
-67.996263487,-257.120526378,29.8392954934
-67.4505466338,-256.803675339,30.4408354931
-66.9005924211,-256.476704979,31.0256074928
-66.3392858646,-256.135188028,31.6097429927
