210,260
210.0,260.0,0.0
210.162815074,260.0001203,0.0846688888695
210.316850047,260.000486783,0.187968888848
210.488777078,260.001095057,0.217451666614
210.729607782,260.002065091,0.244105555501
210.987997606,260.003142033,0.23349722217
211.238274959,260.004019834,0.168409999962
211.505112258,260.004821189,0.175725555513
211.823961197,260.005711836,0.144364444412
212.142810576,260.006427959,0.113003333308
212.478886415,260.006996745,0.0809349999786
212.849081361,260.007529601,0.0840072222037
213.580691275,260.008760471,0.108782777768
213.985004596,260.009662935,0.146995555544
214.398430696,260.010662368,0.130022222179
214.803077247,260.011586494,0.131679999971
215.234063232,260.012373025,0.0774444444344
215.699502033,260.012776106,0.0217944444193
216.173387452,260.012800351,-0.0159316666617
216.621600163,260.012460818,-0.0708744444556
217.077925831,260.011894499,-0.0713383333299
217.551810663,260.011148456,-0.109064444412
218.034474391,260.009992309,-0.165421666614
218.525583398,260.008409681,-0.203854999954
219.016691233,260.006497624,-0.242288333291
219.507465106,260.004414217,-0.244166666611
219.989792223,260.002275411,-0.263968888828
220.489344498,259.999884483,-0.284478333268
220.989228288,259.997153558,-0.341542777693
221.463104333,259.994172712,-0.379268888774
221.96298292,259.99061478,-0.436333333233
222.462857717,259.986558989,-0.493397777658
222.971506789,259.981842668,-0.569093333204
223.471370846,259.97662863,-0.626157777628
223.970898026,259.971079907,-0.646667222068
224.487979468,259.964982911,-0.704438888749
224.996276578,259.958559552,-0.743579444275
225.495460167,259.952150738,-0.727533888695
226.003423501,259.94568888,-0.730119444271
226.520164449,259.939008009,-0.751336110933
227.019678315,259.932367946,-0.771845555373
227.510743064,259.925587561,-0.810278888676
228.027474159,259.918183752,-0.831495555338
228.536086546,259.910466034,-0.907191110918
229.044027121,259.902411435,-0.909776666459
229.561075113,259.893940008,-0.967548333106
230.060560365,259.885415024,-0.988057777546
230.542819062,259.877014352,-1.00785999976
231.033521288,259.868373731,-1.00973833312
231.524223231,259.859717022,-1.01161666644
232.015255306,259.850881697,-1.05004999977
232.506281343,259.841716995,-1.08848333308
233.04929948,259.831034163,-1.16559333307
233.540306038,259.820879272,-1.20402666637
234.030975805,259.81055866,-1.20590499973
