-210,260
-57.5771233821,270.409857613,41.8276484905
-57.1277434991,270.815963639,42.3807939902
-56.6696344014,271.238059142,42.9333029902
-56.2156168494,271.664552545,43.4858119902
-55.7785375073,272.083386732,44.0718569898
-55.3334476048,272.518711991,44.6572654898
-54.8924663048,272.95867114,45.2097744898
-54.4557480127,273.402862195,45.7622834895
-54.0121003869,273.863415425,46.3799549894
-53.5784510199,274.322754197,46.9156959893
-53.1668580049,274.767113931,47.4688414893
-52.7651913102,275.209118336,48.0058554891
-52.3621270617,275.661228494,48.5590009891
-51.9575995424,276.123759252,49.0953784887
-51.1718215489,277.047018328,50.1029709885
-50.752607909,277.553375182,50.6542069882
-50.3435377134,278.057126705,51.1893114884
-49.9447340004,278.557867966,51.7411839881
-49.5507718482,279.062427214,52.2930564881
-49.1616878065,279.570757638,52.8449289881
-48.7322601357,280.144305457,53.5090854877
-48.3393078119,280.681388023,54.1093524875
-47.9668744002,281.201630858,54.6941244875
-47.6093187681,281.711711763,55.2466334875
-47.2472844995,282.23924417,55.8314054871
-46.8999233855,282.756321356,56.3839144871
-46.5624650723,283.26943859,56.9531914869
-46.2394462714,283.77139932,57.5231049868
-45.9350480627,284.254781352,58.0775234868
-45.6487478664,284.719192285,58.6164469866
-45.3493349103,285.215568544,59.1869969868
-45.0591006806,285.707585362,59.7414154865
-44.7822517831,286.187468053,60.2964704861
-44.4812265561,286.722007306,60.9315464859
-44.2104061911,287.214976982,61.502732986
-43.9366718024,287.725584846,62.1061824858
-43.660961037,288.253879835,62.7747944858
-43.3914338324,288.785356181,63.4434064855
-43.1281268914,289.319941512,64.1120184855
-42.8707777442,289.857790128,64.7477309852
-42.6159283204,290.406155787,65.3995749851
-42.3744186691,290.941683582,66.0520554849
-42.1354251258,291.487936091,66.6877679847
-41.9092391512,292.02095055,67.3241169847
-41.6887061625,292.556689393,67.9275664845
-41.4741059076,293.094473029,68.5639154845
-41.2563184469,293.658584496,69.2157594841
-41.044683401,294.225388944,69.834703984
-40.8419733734,294.786473841,70.4375169841
-40.6394920356,295.365921088,71.0396934839
-40.4407683253,295.955235673,71.6909009837
-40.2482093056,296.547294898,72.2763094834
-40.0644252314,297.132940881,72.8784859832
-39.8868063117,297.720486048,73.4806624832
-39.7151097037,298.310136523,74.0499394831
-39.5413624327,298.927291429,74.5031134829
-39.3746895873,299.531650521,74.6608284831
-39.204077546,300.154174656,74.6863089829
-39.033208638,300.777319499,74.6459904828
-38.8681060914,301.376115682,74.5243779829
-38.7060938366,301.958238818,74.3705024831
-38.5427759165,302.539650904,74.2495264829
-38.3881197053,303.087017435,74.195622483
-38.2284987637,303.650535306,74.173981483
-38.0733690199,304.197421429,74.1529769833
-37.9158089674,304.752397831,74.1481039831
-37.7604322398,305.299213834,74.1270994831
-37.6118105557,305.821260333,74.090599983
-37.4678228647,306.326368933,74.0876364831
-37.3262890466,306.823047576,74.1014409831
-37.1751918547,307.353171353,74.0810729831
-37.0283977738,307.866955844,74.0284419831
-36.8836254271,308.372186792,73.9925789833
-36.7410333008,308.868909378,73.973483983
-36.6005401289,309.357446871,73.9382574832
-36.4552099263,309.86217084,73.935293983
-36.3096163974,310.367165758,73.8994309832
-36.1662169185,310.86365587,73.8803359832
-36.0251624334,311.351684698,73.878008983
-35.8477818685,311.964218671,73.8215589834
-35.6822107128,312.534817248,73.8160494832
-35.5358042997,313.03923009,73.8130859834
-35.3795133329,313.576995071,73.7759499829
-35.2352797125,314.072896432,73.7897544832
-35.0932206799,314.560980896,73.7545279831
-34.9582148083,315.024033202,73.7367059834
