210,260
238.422671844,259.739804095,-1.21472249973
238.896117488,259.729760757,-1.21577649972
239.378339167,259.719451781,-1.23359849971
239.877779643,259.7086165,-1.25205699971
240.368440604,259.697885374,-1.25374749973
240.833433447,259.687638997,-1.27093299969
241.324090846,259.676746224,-1.27262349971
241.832299658,259.665299996,-1.30784999971
242.314504148,259.65421611,-1.32567199971
242.797035086,259.642835936,-1.37639349956
243.279225972,259.631175192,-1.39421549953
243.770188508,259.619077635,-1.42880549966
244.252368525,259.606975806,-1.44662749966
244.72576964,259.595016281,-1.44768149952
245.225166144,259.582314945,-1.46613999951
245.707338173,259.569898925,-1.48396199951
246.180731395,259.557630931,-1.48501599968
246.654453995,259.54520958,-1.51896949982
247.145059641,259.532192834,-1.52065999936
247.627219637,259.519318008,-1.53848199967
248.10093044,259.506454605,-1.5724354998
248.591852972,259.492829957,-1.60702549962
249.083096285,259.478758453,-1.67451499971
249.573993763,259.464259187,-1.70910499952
250.04766416,259.449985164,-1.74305849966
250.538543941,259.434898644,-1.77764849947
251.02064134,259.419861325,-1.79547049978
251.520280097,259.403974929,-1.84682849941
252.002358988,259.388355527,-1.86465049941
252.475988888,259.372795647,-1.89860399955
252.958053468,259.35674062,-1.91642599953
253.448885353,259.34016885,-1.95101599967
253.939707144,259.323300764,-1.98560599949
254.413303141,259.306741053,-2.01955949962
254.895332753,259.289668389,-2.0373814993
255.842807391,259.25512834,-2.13818799951
256.307586674,259.237705653,-2.15537349951
256.789902229,259.219339375,-2.20609499977
257.272201337,259.20054613,-2.25681649941
257.762926108,259.18105867,-2.29140649954
258.261754169,259.161161566,-2.27696549958
258.73493226,259.142342946,-2.27801949945
259.216879953,259.123096038,-2.29584149975
259.699149032,259.103547357,-2.34656299939
260.672079128,259.062952899,-2.43187449947
261.153973401,259.0424119,-2.44969649947
261.627092608,259.022166866,-2.45075049933
263.081812509,258.958593477,-2.5538839994
263.546453155,258.937799182,-2.5710694994
264.492603284,258.895296032,-2.57317749912
264.974445433,258.873566648,-2.59099949943
265.447840025,258.852003887,-2.62495299956
266.394590459,258.808036782,-2.6928599992
266.876386167,258.785300948,-2.71068199951
267.34940825,258.762901047,-2.71173599937
267.831522725,258.739852252,-2.76245749932
268.330822223,258.715536062,-2.81381549927
268.812894869,258.691628357,-2.86453699922
269.277742063,258.668164973,-2.91462199949
269.733803848,258.644812248,-2.9479389993
270.197964529,258.620973328,-2.93222499935
270.696538858,258.595498495,-2.91778399938
271.195119592,258.570149326,-2.90334299943
271.650533553,258.547181831,-2.87086099933
272.115052049,258.52381734,-2.88804649933
272.605206637,258.499082452,-2.88973699951
273.077830386,258.475356917,-2.85789149941
273.550793355,258.45174176,-2.85894549927
274.02375589,258.428117903,-2.85999949945
274.513922527,258.403622954,-2.86168999931
