210,260
237.435992848,259.598242593,-1.26681064385
237.918215432,259.587975929,-1.21966004387
238.417677303,259.578176178,-1.12403444391
238.89113824,259.568881741,-1.12520555501
239.373364344,259.558781765,-1.19985495497
239.872814351,259.548394958,-1.19137935498
240.363486384,259.538182656,-1.19325768833
240.828493347,259.52859839,-1.18075708834
241.319167265,259.518477055,-1.18263542169
241.827230085,259.507988701,-1.18263542169
242.309453608,259.497766226,-1.21440982168
242.791671387,259.487276326,-1.24618422166
243.273877086,259.476245061,-1.31050862163
243.764693601,259.465016808,-1.31050862163
244.246891134,259.45363418,-1.35225802161
244.720311293,259.442453907,-1.35342913257
245.219737931,259.430998421,-1.31397853259
245.701937237,259.419691158,-1.34330293258
246.175359138,259.408584879,-1.34447404388
246.648951003,259.397619466,-1.32637344389
247.139597613,259.386251125,-1.32825177672
247.621796416,259.374922416,-1.34585117671
248.095375344,259.363411867,-1.39232557669
248.586159865,259.350862797,-1.46469997666
249.076931027,259.337801719,-1.52447437663
249.567677106,259.323829934,-1.63079877658
250.041196307,259.310080002,-1.66327317657
250.531920021,259.295343592,-1.72007257654
251.01401208,259.280135992,-1.8067969765
251.513321713,259.264385263,-1.8067969765
251.995405265,259.248910312,-1.83857137648
252.468870261,259.233405744,-1.87559577647
252.950931638,259.217254759,-1.91892017645
253.441585128,259.200340941,-1.97431957642
253.932222884,259.182976694,-2.0269189764
254.405630487,259.165808798,-2.07689337638
254.8876455,259.148328759,-2.07689337638
255.834455811,259.113858298,-2.08504277637
256.299232068,259.096355008,-2.15671717634
256.781189606,259.077356151,-2.25744157629
257.263144961,259.058301992,-2.26401597629
257.753715286,259.039126987,-2.2383903763
258.252930338,259.020619494,-2.12316477635
258.726157221,259.003070623,-2.12433588731
259.208145607,258.984871171,-2.1624102873
259.690133994,258.966671719,-2.1624102873
260.662726806,258.930189726,-2.1481596873
261.14471424,258.911965048,-2.16540908729
261.617928055,258.89406727,-2.16658019825
263.072514461,258.839524241,-2.14742959826
263.537295804,258.822156527,-2.14000399827
264.483738853,258.78677095,-2.14234622018
264.965736903,258.768829251,-2.13177062019
265.439127845,258.751207938,-2.13177062019
266.385909729,258.715965314,-2.13177062019
266.867892507,258.697617935,-2.17999502017
267.341101751,258.67959969,-2.18116613112
267.823087813,258.661338784,-2.16971553113
268.322281597,258.642266268,-2.18801493112
268.804238099,258.623241143,-2.26056433109
269.268951587,258.604143801,-2.35323873105
269.725056943,258.585343598,-2.36033813104
270.189778489,258.566443359,-2.32893753106
270.688933986,258.54639379,-2.30016193107
271.188118778,258.527087374,-2.21486133111
271.644308268,258.510453258,-2.08826073117
272.109119906,258.493916187,-2.03761013119
272.599587598,258.476458275,-2.03948846472
273.073027516,258.460205944,-1.96608786475
273.546300731,258.443954492,-1.96725897571
274.019573614,258.427693367,-1.96843008703
274.510062027,258.410827668,-1.9703084202
274.966118194,258.395136607,-1.97077230928
275.430948807,258.379141768,-1.97077230928
275.904376871,258.362547689,-2.00744670927
276.833983341,258.329004471,-2.06652110924
277.290167454,258.312223578,-2.10669550922
277.763554819,258.29450643,-2.14336990921
278.245556103,258.27665181,-2.12141930922
278.710349252,258.259602984,-2.10069370923
279.157947003,258.243716614,-2.03271810926
279.614187762,258.228553708,-1.90349250932
280.079045374,258.213363729,-1.87156690933
280.543906565,258.19828369,-1.85801630934
281.017209591,258.182924957,-1.85918742064
281.464858938,258.168565787,-1.83723682065
281.921113446,258.153822384,-1.85081122064
282.394573688,258.138173289,-1.89308562062
282.850801498,258.122625641,-1.9518100206
