-265,-285
-188.480839861,-287.363754137,-3.32105444339
-187.956169283,-287.394382964,-3.36090222132
-187.448716106,-287.424357681,-3.40004277666
-186.950042749,-287.454074279,-3.42055222146
-186.434184989,-287.485003428,-3.44176888777
-185.909735426,-287.516545165,-3.44176888777
-185.40232506,-287.547236066,-3.48090944347
-184.886500167,-287.578708619,-3.50212611013
-184.379122413,-287.609934026,-3.54126666583
-183.36472091,-287.672710857,-3.54126666583
-182.857364606,-287.704282862,-3.58040722153
-182.350352441,-287.736018788,-3.58299277693
-181.81771435,-287.769302536,-3.56836166587
-181.293825241,-287.801819765,-3.53509944354
-180.786465542,-287.833337159,-3.57423999924
-180.270692599,-287.86564991,-3.5954566659
-179.737739834,-287.899240397,-3.61738055478
-179.213556666,-287.932393972,-3.62067333275
-178.70656693,-287.964486207,-3.62325888816
-178.190821822,-287.997240211,-3.64447555482
-177.675088877,-288.030185194,-3.66569222149
-177.150766591,-288.063776338,-3.66569222149
-176.110586882,-288.130972913,-3.72675666572
-175.595223629,-288.164472369,-3.71141833243
-175.088285356,-288.197367533,-3.71400388819
-174.564158844,-288.23140504,-3.7172966658
-174.031278714,-288.26612878,-3.73922055469
-173.515600953,-288.299926539,-3.76043722135
-172.983068496,-288.334859699,-3.74580611028
-172.476150057,-288.368059112,-3.74839166568
-171.960477713,-288.401939413,-3.76960833235
-171.444817949,-288.436010666,-3.79082499901
-170.937758724,-288.469607948,-3.79082499901
-170.413356906,-288.504537493,-3.83067277694
-169.880225475,-288.540508019,-3.88915166578
-169.373391683,-288.574975561,-3.89173722118
-168.858127027,-288.609958842,-3.87639888789
-168.333777962,-288.645671566,-3.91624666581
-167.826960526,-288.680378784,-3.91883222121
-167.320144657,-288.715108873,-3.92141777696
-166.753020933,-288.754100526,-3.94475610994
-166.211530167,-288.791633186,-3.98531111008
-165.687403423,-288.828148674,-3.98531111008
-165.163123191,-288.864858056,-4.02515888801
-164.656051619,-288.900713768,-4.06429944335
-164.140253254,-288.937624991,-4.12207110997
-163.633243055,-288.974338332,-4.16121166567
-163.10032801,-289.013383873,-4.21969055451
-162.584631648,-289.051693848,-4.27746222112
-162.077722884,-289.089782107,-4.31660277682
-161.553663673,-289.129522316,-4.35645055439
-161.046960824,-289.168123582,-4.35645055439
-160.548852961,-289.206159741,-4.37695999918
-160.007660722,-289.247775966,-4.41751499932
-159.466816974,-289.289576932,-4.42151499917
-158.951578239,-289.329512988,-4.44273166583
-158.436034918,-289.369830171,-4.50050333244
-157.929278264,-289.409891432,-4.53964388814
-157.413803875,-289.451080567,-4.59741555441
-156.898371278,-289.492789437,-4.65518722137
-156.374874579,-289.535431658,-4.65847999898
-155.87697414,-289.576093006,-4.67898944343
-155.35317676,-289.619146989,-4.71883722135
-154.829727756,-289.662370738,-4.72212999898
-154.314705646,-289.705009545,-4.74334666563
-153.79969936,-289.747839063,-4.76456333229
-153.293132718,-289.790235388,-4.80370388765
-152.804078981,-289.831342288,-4.80558222118
-152.305965915,-289.873468699,-4.86264666592
-151.790731917,-289.917563131,-4.92041833218
-151.284282475,-289.961337251,-4.95955888788
-150.786284417,-290.004802136,-5.01662333227
-150.27990919,-290.049426571,-5.05576388762
-149.781984816,-290.09372758,-5.11282833235
-149.276002685,-290.139010983,-5.11541388776
-148.752865392,-290.185856755,-5.11870666538
-148.238785296,-290.231671705,-5.06681333215
-147.749607388,-290.27520945,-5.10524666562
-147.226144804,-290.322159044,-5.14509444319
-146.70303185,-290.369275808,-5.14838722117
-146.179921604,-290.416422634,-5.15167999879
-145.673970294,-290.462049128,-5.1542655542
-145.168021045,-290.507698453,-5.15685110994
-144.65333727,-290.55424363,-5.1780677766
-144.138670766,-290.600979393,-5.19928444327
-143.624021603,-290.647905733,-5.22050110993
-143.109389853,-290.695022645,-5.24171777694
-142.603193846,-290.741636095,-5.28085833194
-142.063041337,-290.79158154,-5.28485833214
-141.531310523,-290.840869593,-5.30678222102
-141.025167776,-290.888057844,-5.34592277672
-140.510640398,-290.936301182,-5.36713944339
-139.996447309,-290.984539785,-5.35180111009
-139.456357055,-291.035154001,-5.35580110994
-138.924687676,-291.085100397,-5.37772499883
-138.393037448,-291.13525023,-5.39964888771
-137.895387932,-291.182538928,-5.4567133321
-137.3893704,-291.231051486,-5.4958538878
-136.857824698,-291.282297335,-5.51777777668
-136.335344934,-291.332616967,-5.48451555435
-135.803789101,-291.383757627,-5.50643944325
-135.280983697,-291.434172527,-5.50973222086
-134.783742299,-291.482226499,-5.53024166565
-134.27778744,-291.531388394,-5.569382221
-133.737578441,-291.584257922,-5.6099372208
-133.214549715,-291.635816561,-5.64978499873
-132.700285426,-291.68678795,-5.67100166538
-132.177311948,-291.738903991,-5.71084944331
-131.645962281,-291.792144036,-5.73277333218
-131.140184363,-291.843094092,-5.77191388754
-130.62571498,-291.895359241,-5.82968555415
-130.111613269,-291.947945093,-5.85090222081
-129.588806005,-292.001702936,-5.89074999839
-129.057312193,-292.056814894,-5.94922888756
-128.517465565,-292.11326459,-5.98978388737
-128.012068847,-292.166292817,-5.98978388737
-127.506524562,-292.219511111,-6.02892444237
-126.983886851,-292.274893093,-6.06877222064
-126.444472227,-292.332261592,-6.07277222048
-125.913156181,-292.389061765,-6.13125110932
-125.407744837,-292.44352812,-6.17039166502
-124.893651384,-292.499369982,-6.22816333128
-124.379614499,-292.555730178,-6.28593499825
-123.848825966,-292.614300681,-6.30785888712
-123.343898305,-292.670126849,-6.31044444253
-122.80456275,-292.729769564,-6.31044444253
-122.282203463,-292.787718822,-6.3502922201
-121.743077227,-292.847737005,-6.35429222028
-121.212358949,-292.906940728,-6.37621610918
-120.690066529,-292.96548958,-6.41606388675
-120.168127359,-293.024197807,-6.41935666472
-119.645879171,-293.0831399,-6.45920444229
-119.140787862,-293.140498253,-6.49834499799
-118.627334838,-293.199080113,-6.51956166466
-118.105190533,-293.25893548,-6.55940944223
-117.591488073,-293.318266537,-6.61718110884
-117.078157658,-293.377913214,-6.6383977755
-116.573248208,-293.436850964,-6.6775383312
-116.042872385,-293.499047887,-6.69946222008
-115.521541471,-293.560131825,-6.66619999811
-115.008262274,-293.620217655,-6.68741666442
-114.495005361,-293.680493549,-6.70863333108
-113.956265034,-293.743882357,-6.71263333128
-113.417529133,-293.807308777,-6.71663333113
-112.347495057,-293.926334091,-6.34720728129
-111.773245036,-293.98337079,-5.6722312316
-111.189759931,-294.034128782,-4.97170518192
-110.588480435,-294.078505079,-4.22095413226
-109.969462153,-294.115803645,-3.44815308262
-109.375806885,-294.143516513,-2.67272703297
-108.764620019,-294.163936648,-1.91357598332
-108.179038476,-294.175139235,-1.09597493369
-107.593353615,-294.177256747,-0.207148884097
-107.00768538,-294.172361884,0.478852165589
-106.404886725,-294.160526773,1.12477821529
-105.802273847,-294.141447779,1.81340426498
-105.19991656,-294.11552505,2.46423031468
