265,-285
265.0,-285.0,0.0
265.158034677,-285.0,0.0
265.333628762,-285.0,0.0
265.579460482,-285.0,0.0
265.860411018,-285.0,0.0
266.123802146,-285.0,0.0
266.422312092,-285.0,0.0
266.755940854,-285.0,0.0
267.493436012,-285.0,0.0
267.897302409,-285.0,0.0
268.318728214,-285.0,0.0
268.740154019,-285.0,0.0
269.161579824,-285.0,0.0
269.618124446,-285.0,0.0
270.109787885,-285.0,0.0
271.040436537,-285.0,0.0
271.514540568,-285.0,0.0
272.006204007,-285.0,0.0
272.497867446,-285.0,0.0
273.007090294,-285.0,0.0
273.568991367,-285.0,0.0
274.13089244,-285.0,0.0
274.675234105,-285.0,0.0
275.219575769,-285.0,0.0
275.781476843,-285.0,0.0
276.343377916,-285.0,0.0
276.905278989,-285.0,0.0
277.432061245,-285.0,0.0
277.958843501,-285.0,0.0
278.503185166,-285.0,0.0
279.029967422,-285.0,0.0
279.574309087,-285.0,0.0
280.118650752,-285.0,0.0
280.698111233,-285.0,0.0
281.786794563,-285.0,0.0
282.875477892,-285.0,0.0
283.419819557,-285.0,0.0
283.946601813,-285.0,0.0
284.490943478,-285.0,0.0
285.070403959,-285.0,0.0
285.632305033,-285.0,0.0
286.194206106,-285.0,0.0
286.738547771,-285.0,0.0
287.300448844,-285.0,0.0
287.862349917,-285.0,0.0
288.810557978,-285.0,0.0
289.354899643,-285.0,0.0
289.899241308,-285.0,0.0
290.443582972,-285.0,0.0
291.023043454,-285.0,0.0
291.602503936,-285.0,0.0
292.1468456,-285.0,0.0
292.691187265,-285.0,0.0
293.288207155,-285.0,0.0
293.867667637,-285.0,0.0
294.447128119,-285.0,0.0
295.026588601,-285.0,0.0
295.553370857,-285.0,0.0
296.080153113,-285.0,0.0
296.642054186,-285.0,0.0
297.20395526,-285.0,0.0
297.748296924,-285.0,0.0
298.872099071,-285.0,0.0
299.416440735,-285.0,0.0
299.9607824,-285.0,0.0
300.522683473,-285.0,0.0
301.084584547,-285.0,0.0
301.64648562,-285.0,0.0
302.208386693,-285.0,0.0
302.735168949,-285.0,0.0
303.297070022,-285.0,0.0
303.841411687,-285.0,0.0
304.385753352,-285.0,0.0
305.298842596,-285.0,0.0
305.860743669,-285.0,0.0
306.949426999,-285.0,0.0
307.511328072,-285.0,0.0
308.073229145,-285.0,0.0
308.61757081,-285.0,0.0
309.161912474,-285.0,0.0
309.706254139,-285.0,0.0
310.250595804,-285.0,0.0
310.794937468,-285.0,0.0
311.321719724,-285.0,0.0
311.848501981,-285.0,0.0
312.410403054,-285.0,0.0
312.93718531,-285.0,0.0
313.481526975,-285.0,0.0
314.148784499,-285.0,0.0
314.675566755,-285.0,0.0
315.184789603,-285.0,0.0
315.729131268,-285.0,0.0
316.273472932,-285.0,0.0
316.78269578,-285.0,0.0
317.309478036,-285.0,0.0
317.836260292,-285.0,0.0
318.363042548,-285.0,0.0
318.907384213,-285.0,0.0
319.451725878,-285.0,0.0
319.978508134,-285.0,0.0
320.522849799,-285.0,0.0
321.067191463,-285.0,0.0
321.629092537,-285.0,0.0
322.682657049,-285.0,0.0
323.191879896,-285.0,0.0
323.718662153,-285.0,0.0
324.263003817,-285.0,0.0
325.31656833,-285.0,0.0
325.825791177,-285.0,0.0
326.352573433,-285.0,0.0
326.914474507,-285.0,0.0
327.96526892,-285.0,0.0
328.509610584,-285.0,0.0
329.036392841,-285.0,0.0
329.545615688,-285.0,0.0
330.089957353,-285.0,0.0
330.616739609,-285.0,0.0
331.108403048,-285.0,0.0
331.635185304,-285.0,0.0
332.179526969,-285.0,0.0
332.723868634,-285.0,0.0
333.25065089,-285.0,0.0
333.812551963,-285.0,0.0
334.356893628,-285.0,0.0
334.901235293,-285.0,0.0
335.445576957,-285.0,0.0
336.00747803,-285.0,0.0
336.534260287,-285.0,0.0
337.078601951,-285.0,0.0
337.640503024,-285.0,0.0
338.184844689,-285.0,0.0
338.676508128,-285.0,0.0
339.220849793,-285.0,0.0
339.765191458,-285.0,0.0
340.291973714,-285.0,0.0
340.81875597,-285.0,0.0
341.363097635,-285.0,0.0
342.451780964,-285.0,0.0
342.961003811,-285.0,0.0
