270,-390
270.0,-390.0,0.0
270.155035241,-390.0,0.0
270.284231276,-390.0,0.0
270.456492655,-390.0,0.0
270.654593241,-390.0,0.0
270.869919965,-390.0,0.0
271.085246689,-390.0,0.0
271.32641262,-390.0,0.0
271.619256964,-390.0,0.0
271.912101309,-390.0,0.0
272.204945653,-390.0,0.0
272.532242274,-390.0,0.0
272.876765032,-390.0,0.0
273.22990086,-390.0,0.0
273.617488963,-390.0,0.0
273.996463997,-390.0,0.0
274.375439031,-390.0,0.0
275.193680582,-390.0,0.0
275.615720961,-390.0,0.0
276.029148271,-390.0,0.0
276.45118865,-390.0,0.0
276.916294374,-390.0,0.0
277.36417396,-390.0,0.0
277.803440477,-390.0,0.0
278.259933132,-390.0,0.0
278.725038855,-390.0,0.0
279.172918441,-390.0,0.0
279.646637234,-390.0,0.0
280.404587302,-390.0,0.0
280.886919164,-390.0,0.0
281.386477164,-390.0,0.0
281.868809025,-390.0,0.0
282.359753956,-390.0,0.0
282.885151163,-390.0,0.0
283.367483024,-390.0,0.0
283.935945575,-390.0,0.0
284.426890506,-390.0,0.0
285.39155423,-390.0,0.0
285.891112229,-390.0,0.0
286.399283298,-390.0,0.0
286.881615159,-390.0,0.0
287.363947021,-390.0,0.0
287.846278883,-390.0,0.0
288.328610745,-390.0,0.0
288.810942606,-390.0,0.0
289.293274468,-390.0,0.0
289.792832468,-390.0,0.0
290.283777398,-390.0,0.0
290.757496191,-390.0,0.0
291.231214984,-390.0,0.0
292.195878707,-390.0,0.0
293.151929362,-390.0,0.0
293.642874292,-390.0,0.0
294.125206154,-390.0,0.0
294.607538016,-390.0,0.0
295.107096015,-390.0,0.0
295.598040946,-390.0,0.0
296.080372808,-390.0,0.0
296.5540916,-390.0,0.0
297.045036531,-390.0,0.0
297.518755324,-390.0,0.0
298.009700254,-390.0,0.0
298.500645185,-390.0,0.0
299.000203185,-390.0,0.0
299.482535046,-390.0,0.0
299.982093046,-390.0,0.0
300.481651046,-390.0,0.0
300.955369838,-390.0,0.0
301.446314769,-390.0,0.0
301.9372597,-390.0,0.0
302.410978492,-390.0,0.0
303.384255285,-390.0,0.0
303.875200215,-390.0,0.0
304.348919008,-390.0,0.0
305.313582731,-390.0,0.0
305.795914593,-390.0,0.0
306.269633386,-390.0,0.0
306.769191385,-390.0,0.0
307.260136316,-390.0,0.0
307.733855109,-390.0,0.0
308.216186971,-390.0,0.0
308.724358039,-390.0,0.0
309.206689901,-390.0,0.0
309.689021763,-390.0,0.0
310.197192831,-390.0,0.0
310.688137762,-390.0,0.0
311.187695762,-390.0,0.0
311.670027623,-390.0,0.0
312.186811761,-390.0,0.0
312.677756691,-390.0,0.0
313.177314691,-390.0,0.0
313.68548576,-390.0,0.0
314.185043759,-390.0,0.0
314.67598869,-390.0,0.0
315.166933621,-390.0,0.0
315.66649162,-390.0,0.0
316.16604962,-390.0,0.0
316.665607619,-390.0,0.0
317.15655255,-390.0,0.0
317.647497481,-390.0,0.0
318.103990135,-390.0,0.0
318.594935066,-390.0,0.0
319.094493066,-390.0,0.0
319.585437996,-390.0,0.0
320.084995996,-390.0,0.0
320.584553996,-390.0,0.0
321.058272788,-390.0,0.0
321.54060465,-390.0,0.0
322.031549581,-390.0,0.0
322.539720649,-390.0,0.0
323.039278649,-390.0,0.0
323.53022358,-390.0,0.0
324.029781579,-390.0,0.0
324.529339579,-390.0,0.0
325.01167144,-390.0,0.0
325.502616371,-390.0,0.0
325.984948233,-390.0,0.0
326.467280095,-390.0,0.0
326.958225025,-390.0,0.0
327.449169956,-390.0,0.0
327.948727955,-390.0,0.0
328.431059817,-390.0,0.0
328.913391679,-390.0,0.0
329.421562747,-390.0,0.0
330.412065678,-390.0,0.0
330.894397539,-390.0,0.0
331.376729401,-390.0,0.0
331.867674332,-390.0,0.0
332.840951124,-390.0,0.0
333.331896055,-390.0,0.0
334.219042158,-390.0,0.0
334.787504709,-390.0,0.0
335.269836571,-390.0,0.0
335.778007639,-390.0,0.0
336.26895257,-390.0,0.0
336.751284431,-390.0,0.0
337.207777086,-390.0,0.0
337.698722017,-390.0,0.0
338.198280017,-390.0,0.0
338.680611878,-390.0,0.0
339.171556809,-390.0,0.0
339.671114809,-390.0,0.0
340.170672808,-390.0,0.0
340.670230808,-390.0,0.0
341.178401876,-390.0,0.0
341.677959876,-390.0,0.0
342.168904807,-390.0,0.0
343.176633875,-390.0,0.0
343.667578805,-390.0,0.0
344.175749874,-390.0,0.0
344.666694805,-390.0,0.0
345.157639735,-390.0,0.0
345.665810804,-390.0,0.0
346.156755735,-390.0,0.0
346.664926803,-390.0,0.0
347.164484803,-390.0,0.0
