285,-375
285.0,-375.0,0.0
285.120582965,-375.0,0.0
285.249779,-375.0,0.0
285.439266517,-375.0,0.0
285.628754034,-375.0,0.0
285.82685462,-375.0,0.0
286.068020551,-375.0,0.0
286.317799551,-375.0,0.0
286.593417757,-375.0,0.0
286.90348824,-375.0,0.0
287.23078486,-375.0,0.0
287.558081481,-375.0,0.0
287.911217308,-375.0,0.0
288.298805411,-375.0,0.0
288.686393514,-375.0,0.0
289.065368549,-375.0,0.0
289.831931686,-375.0,0.0
290.253972065,-375.0,0.0
290.684625513,-375.0,0.0
291.477027857,-375.0,0.0
291.899068236,-375.0,0.0
292.329721684,-375.0,0.0
292.751762063,-375.0,0.0
293.182415511,-375.0,0.0
293.613068959,-375.0,0.0
294.043722407,-375.0,0.0
294.474375855,-375.0,0.0
294.913642372,-375.0,0.0
295.34429582,-375.0,0.0
295.774949268,-375.0,0.0
296.240054991,-375.0,0.0
296.687934577,-375.0,0.0
297.135814163,-375.0,0.0
297.583693749,-375.0,0.0
298.031573335,-375.0,0.0
298.470839852,-375.0,0.0
298.910106369,-375.0,0.0
299.366599023,-375.0,0.0
299.823091678,-375.0,0.0
300.270971264,-375.0,0.0
300.727463919,-375.0,0.0
301.399282349,-375.001129039,-0.096289549956
301.855774359,-375.001896206,-0.096289549956
302.312266369,-375.002663373,-0.096289549956
302.785984493,-375.003459491,-0.096289549956
303.724807684,-375.00503725,-0.096289549956
304.207138864,-375.005847842,-0.096289549956
304.672243931,-375.006629484,-0.096289549956
305.171801226,-375.007469026,-0.096289549956
305.688584633,-375.008337517,-0.096289549956
306.1536897,-375.009119159,-0.096289549956
306.610181711,-375.009886326,-0.096289549956
307.075286778,-375.010667969,-0.096289549956
307.549004901,-375.011464086,-0.096289549956
308.022723025,-375.012260203,-0.096289549956
308.505054206,-375.013070795,-0.096289549956
308.978772329,-375.013866912,-0.096289549956
309.452490453,-375.014663029,-0.096289549956
309.900369407,-375.015415721,-0.096289549956
310.34824836,-375.016168414,-0.096289549956
310.796127313,-375.016921106,-0.096289549956
311.252619324,-375.017688274,-0.096289549956
311.717724391,-375.018469916,-0.096289549956
312.165603344,-375.019222608,-0.096289549956
312.613482297,-375.019975301,-0.096289549956
313.069974307,-375.020742468,-0.096289549956
313.535079374,-375.021524111,-0.096289549956
313.982958328,-375.022276803,-0.096289549956
314.430837281,-375.023029495,-0.096289549956
316.928617494,-375.030021159,-0.160379099927
317.402334431,-375.031347164,-0.160379099927
317.858825297,-375.03262495,-0.160379099927
318.496189903,-375.03440903,-0.160379099927
318.95268077,-375.035686817,-0.160379099927
319.409171636,-375.036964603,-0.160379099927
319.865662503,-375.03824239,-0.160379099927
320.33937944,-375.039568395,-0.160379099927
320.795870306,-375.040846182,-0.160379099927
321.269587243,-375.042172187,-0.160379099927
321.72607811,-375.043449974,-0.160379099927
322.182568976,-375.04472776,-0.160379099927
322.621833772,-375.045957329,-0.160379099927
323.069711603,-375.047211006,-0.160379099927
323.552041575,-375.04856112,-0.160379099927
323.999919407,-375.049814798,-0.160379099927
324.430571167,-375.051020257,-0.160379099927
325.378005041,-375.053672267,-0.160379099927
325.808656802,-375.054877726,-0.160379099927
326.247921598,-375.056107295,-0.160379099927
326.695799429,-375.057360972,-0.160379099927
327.410681352,-375.059362035,-0.160379099927
327.858559184,-375.060615712,-0.160379099927
328.737088776,-375.063074849,-0.160379099927
329.202192677,-375.064376745,-0.160379099927
329.667296579,-375.065678641,-0.160379099927
330.132400481,-375.066980536,-0.160379099927
330.597504382,-375.068282432,-0.160379099927
331.114286495,-375.069728983,-0.160379099927
331.553551291,-375.070958552,-0.160379099927
