-265,-285
-184.894092378,-287.912881483,-3.99828699914
-184.387002828,-287.948482053,-4.03351349927
-183.372889869,-288.020618462,-4.1039664989
-182.865866845,-288.057154275,-4.13919299903
-182.359188213,-288.093832184,-4.14151999889
-181.82690037,-288.132313294,-4.12835199894
-181.303355182,-288.169964408,-4.09841599884
-180.796328621,-288.206451103,-4.13364249897
-180.280895047,-288.243788396,-4.15273749897
-179.748293458,-288.282550727,-4.17246899896
-179.22445597,-288.320779511,-4.17543249913
-178.717800639,-288.357777886,-4.177759499
-178.202395968,-288.395512045,-4.19685449899
-177.6870039,-288.433417971,-4.21594949899
-177.162553164,-288.472394438,-4.28471199908
-176.123155947,-288.550769516,-4.33966999889
-175.608181052,-288.589786868,-4.32586549893
-175.101624608,-288.628115363,-4.32819249911
-174.577892958,-288.667767736,-4.33115599896
-174.045414655,-288.708188392,-4.35088749896
-173.530126356,-288.747479751,-4.36998249895
-172.997996184,-288.788083007,-4.35681449899
-172.491460518,-288.826685119,-4.35914149885
-171.976177884,-288.86605071,-4.37823649885
-171.460908399,-288.905588027,-4.39733149885
-170.953758093,-288.94489066,-4.46545749893
-170.429802465,-288.985974022,-4.50132049906
-169.897126424,-289.028155067,-4.55395149902
-169.390726573,-289.068499779,-4.55627849888
-168.875902864,-289.109463726,-4.54247399891
-168.352002933,-289.151251347,-4.57833699905
-167.8456203,-289.191811583,-4.58066399891
-167.339239314,-289.232392386,-4.58299099908
-166.772602679,-289.277918121,-4.60399549876
-166.231578043,-289.32165935,-4.64049499889
-165.707430506,-289.364520742,-4.70925749897
-165.183654435,-289.407833215,-4.74512049911
-164.677071992,-289.450040336,-4.78034699892
-164.161772999,-289.493368662,-4.83234149888
-163.655255394,-289.5363469,-4.86756799901
-163.122859865,-289.581932046,-4.92019899896
-162.607668166,-289.626518024,-4.97219349891
-162.101256975,-289.67073248,-5.00741999904
-161.57771339,-289.716770042,-5.04328299885
-161.071038401,-289.761787659,-5.11140899862
-160.573474149,-289.806374744,-5.12986749894
-160.032873761,-289.855079692,-5.16636699906
-159.492622356,-289.903943793,-5.16996699892
-158.977948385,-289.950597259,-5.18906199892
-158.462971579,-289.997600297,-5.24105649887
-157.956773441,-290.044190615,-5.276282999
-157.441868785,-290.091977545,-5.32827749864
-156.927007706,-290.140231717,-5.3802719989
-156.404092413,-290.189493757,-5.38323549876
-155.906745293,-290.236440909,-5.40169399876
-155.383530903,-290.286080054,-5.43755699889
-154.860665123,-290.335864886,-5.44052049875
-154.346217189,-290.384948139,-5.45961549874
-153.831785642,-290.43420284,-5.47871049874
-153.325785107,-290.482892383,-5.51393699856
-152.83727841,-290.530057434,-5.51562749874
-152.339723228,-290.578328604,-5.566985499
-151.825067655,-290.628727387,-5.61897999864
-151.319187836,-290.678655555,-5.65420649877
-150.821750861,-290.72813,-5.70556449872
-150.31594707,-290.778822589,-5.74079099853
-149.818585428,-290.829048696,-5.79214899879
-149.313175629,-290.880326752,-5.79447599865
-148.790630122,-290.933367743,-5.79743949852
-148.277131161,-290.985292446,-5.75073549861
-147.788506129,-291.03464973,-5.78532549873
-147.26563583,-291.087790988,-5.82118849855
-146.74311511,-291.141075595,-5.82415199872
-146.220597146,-291.194387228,-5.82711549859
-145.715218734,-291.245973716,-5.82944249845
-145.209842419,-291.29758073,-5.83176949862
-144.695741646,-291.350175762,-5.85086449862
-144.18165843,-291.402942126,-5.86995949861
-143.667592827,-291.455879815,-5.88905449861
-143.153544896,-291.508988825,-5.90814949892
-142.647923505,-291.561469502,-5.94337599842
-142.108384421,-291.617655431,-5.9469759986
-141.577257617,-291.673074647,-5.96670749859
-141.071690127,-291.726072056,-6.00193399872
-140.557747824,-291.780193697,-6.02102899872
-140.044139456,-291.834304149,-6.00722449876
-139.50466332,-291.891091287,-6.01082449862
-138.973598602,-291.947102338,-6.03055599862
-138.442553206,-292.003296274,-6.05028749861
-137.945470126,-292.05620825,-6.10164549856
