-265,-285
-233.102794244,-285.490282956,-1.10081163839
-232.009165392,-285.512757469,-1.17728558836
-231.47527003,-285.523835263,-1.18865953835
-230.949991717,-285.535011932,-1.21893348834
-230.416106059,-285.546547927,-1.23783243833
-229.88223564,-285.55876878,-1.3113313883
-229.348391835,-285.572101675,-1.43068033824
-228.823174706,-285.585856385,-1.50015428821
-228.315191478,-285.599672128,-1.55790323818
-227.772773513,-285.614600136,-1.57645218818
-227.24759133,-285.629630102,-1.63927613815
-226.713799604,-285.64490646,-1.63927613815
-225.801521288,-285.671021958,-1.64020391596
-225.250510729,-285.686800025,-1.64020391596
-224.191580669,-285.718601591,-1.72017786593
-223.657824898,-285.735086489,-1.76900181591
-223.115452647,-285.75159209,-1.74310076592
-222.57324753,-285.768111549,-1.74710076612
-222.05670696,-285.783976081,-1.75917471611
-221.522966044,-285.800935117,-1.81989866608
-220.997848627,-285.818079327,-1.86994761606
-220.481330602,-285.834661661,-1.83879656608
-219.956370976,-285.851530106,-1.84208934405
-219.439857927,-285.868266746,-1.85591329404
-218.906130795,-285.885654185,-1.86588724404
-218.39822917,-285.902200296,-1.86588724404
-217.87311054,-285.919307292,-1.86588724404
-217.227460026,-285.939942126,-1.83053619405
-216.710933001,-285.956241737,-1.80743514406
-216.211621239,-285.971924815,-1.79903409407
-215.686460542,-285.987687664,-1.7192330441
-215.152673973,-286.003143185,-1.65850699413
-214.627486086,-286.017972454,-1.61738094415
-214.110910338,-286.032646969,-1.62717989414
-213.585891991,-286.047576413,-1.63047267177
-213.060874503,-286.062536029,-1.63376544939
-212.51863885,-286.078020789,-1.63776544959
-211.984836768,-286.0929309,-1.59996439961
-211.468246469,-286.10708391,-1.56933834962
-210.934452107,-286.122267907,-1.62936229959
-210.400657745,-286.137451904,-1.62936229959
-209.866860748,-286.152542959,-1.6193862496
-208.816820857,-286.182289189,-1.62597180518
-208.291615768,-286.196496195,-1.54949575522
-207.757778873,-286.210102919,-1.46006970526
-207.223941977,-286.223709643,-1.46006970526
-206.182118498,-286.251018838,-1.50154365524
-205.682722148,-286.263726336,-1.45761760526
-205.157661917,-286.277101967,-1.46091038323
-204.615214952,-286.290936113,-1.46091038323
-203.56482649,-286.320141899,-1.59268433317
-203.031056057,-286.336144991,-1.71728328312
-202.523127776,-286.351851562,-1.77118223309
-202.006573667,-286.367268986,-1.70958118312
-201.464358978,-286.383471238,-1.71358118296
-200.939363742,-286.399192385,-1.71687396093
-200.448806008,-286.413904448,-1.71875229446
-199.932251776,-286.429317771,-1.70912624447
-199.398475049,-286.445109545,-1.69460019447
-198.864695102,-286.460792076,-1.68287414448
-198.348150189,-286.476514602,-1.74342309445
-197.823008502,-286.49289855,-1.78699704443
-197.297877484,-286.509620918,-1.82392099442
-196.789993429,-286.526697854,-1.92576994437
-196.264924159,-286.545258191,-2.02446889432
-195.748494211,-286.564388127,-2.12141784428
-195.240694138,-286.58380257,-2.18949179425
-194.715703206,-286.604460407,-2.25336574422
-194.182124345,-286.625921367,-2.3032396942
-193.657151594,-286.647036182,-2.3032396942
-193.157970349,-286.666434099,-2.22536364423
-192.624366874,-286.6872741,-2.23656259423
-192.090775388,-286.70841886,-2.26928654421
-191.574384743,-286.728581853,-2.23603549423
-191.066608092,-286.74859955,-2.25755944422
-190.541631414,-286.769616498,-2.2925583942
-189.483112217,-286.812990716,-2.34645734418
-188.983973084,-286.833443599,-2.34645734418
-188.467613064,-286.854376217,-2.32143129419
-187.942637155,-286.875412378,-2.2946552442
-187.434882695,-286.895985244,-2.32020419419
-186.935734242,-286.916209418,-2.32020419419
-186.419378387,-286.937244521,-2.33280314418
-185.894416601,-286.958630209,-2.33280314418
-185.386681397,-286.979672954,-2.37322709417
-184.870334712,-287.000931987,-2.35765104417
-184.362597132,-287.021917335,-2.36674999417
-183.347104118,-287.063453786,-2.34224894418
-182.839345393,-287.083921138,-2.3082978942
-182.33175363,-287.104393232,-2.3108834496
-181.79814329,-287.1250567,-2.21760739964
-181.273126758,-287.145053337,-2.18120634966
-180.765306777,-287.163939889,-2.12993029968
-180.248870584,-287.182900475,-2.10262924969
-179.715211522,-287.202264877,-2.0781281997
-179.190326938,-287.22132599,-2.08142097767
-178.682658091,-287.239787993,-2.08400653307
-178.166215763,-287.258580722,-2.08400653307
-177.649797492,-287.278023308,-2.15610548304
-177.124772249,-287.297789938,-2.15610548304
-176.083352395,-287.337622586,-2.19040443303
-175.566942244,-287.357279666,-2.17990338303
-175.059305879,-287.376614244,-2.18248893879
-174.534456885,-287.39663137,-2.1857817164
-174.000841206,-287.417156519,-2.2027556664
-173.48442965,-287.436776656,-2.17580461641
-172.950797839,-287.456878022,-2.15725356642
-172.443153871,-287.476011922,-2.15983912182
-171.926740147,-287.495574903,-2.16946307181
-171.410337256,-287.515421784,-2.2009620218
-170.902566102,-287.535578412,-2.27323597177
-170.377628524,-287.557550307,-2.39678492171
-169.844113726,-287.580548883,-2.46835887168
-169.336581134,-287.602438899,-2.47094442708
-168.820277496,-287.624718884,-2.47094442708
-168.295344409,-287.646797821,-2.40846837711
-167.787789214,-287.668157308,-2.41105393251
