0,0
0.0,0.0,0.0
0.156034946471,-0.00015799367057,-0.116029999974
0.302956537844,-0.000533536158684,-0.17687388885
0.457991013477,-0.00102074551273,-0.183238888844
0.665369606832,-0.00183163876153,-0.264835555496
0.872413923175,-0.00287003995675,-0.309877222152
1.0963503428,-0.00409915188629,-0.319071111039
1.34595893332,-0.00547172079973,-0.31104833326
1.62124013305,-0.00690555291987,-0.285808888824
2.1981418035,-0.00981059819151,-0.291223333268
2.53388058712,-0.011503962297,-0.286736666598
2.87873148907,-0.0133823613341,-0.337436111035
3.22358059388,-0.0155659085843,-0.388135555464
3.59443232772,-0.0183048609817,-0.458173333237
3.97372707324,-0.0215105137285,-0.510287222107
4.34390780947,-0.0247975762686,-0.507214999871
4.72286753382,-0.0282038901416,-0.522773888756
5.51490389096,-0.0354029228674,-0.518751110986
5.92831369561,-0.0392072418074,-0.535724444351
6.31571830299,-0.0428216445143,-0.533359444338
6.72912712425,-0.0467313677464,-0.550332777632
7.58161378218,-0.0550443272982,-0.567062777649
7.99468828048,-0.0590621116773,-0.547481110993
8.4253214265,-0.0632435358743,-0.565161666545
8.85595326169,-0.0675578463295,-0.582842222097
9.29536223194,-0.072167149578,-0.619153888769
9.71754315001,-0.0768607203189,-0.654758333185
10.1484993318,-0.081989764761,-0.708993888721
10.5794504654,-0.0875267452327,-0.763229444292
11.0100648132,-0.0933296931487,-0.780909999844
11.4491239241,-0.0993132656877,-0.780666666497
11.8800677942,-0.105389329645,-0.834902222032
12.3194522348,-0.111931663793,-0.871213888705
12.7503859645,-0.118688760799,-0.925449444207
13.1985368151,-0.12614291651,-0.980392221965
13.6379032263,-0.133800948281,-1.01670388867
14.0769339946,-0.141591360007,-1.01646055532
14.4987414143,-0.149071754804,-1.01550999976
14.9465493722,-0.157081410836,-1.03389777753
15.3943547364,-0.165234780236,-1.0522855553
15.8337111927,-0.173444111988,-1.08859722198
16.2818390011,-0.182174330015,-1.14353999973
16.7299582317,-0.191334268225,-1.19848277749
17.1780684725,-0.200923918194,-1.25342555525
17.6089475386,-0.210555538676,-1.30766111082
18.0570386926,-0.220999054367,-1.36260388858
18.4875687749,-0.231306284063,-1.38028444413
18.9268710366,-0.242030634136,-1.4165961108
19.3749415247,-0.253326074687,-1.47153888856
19.8226715488,-0.264899634991,-1.4899266663
20.7184458782,-0.28877234557,-1.56325722187
21.1577116519,-0.300899540423,-1.59956888854
21.5969696517,-0.313305121082,-1.63588055518
22.044993628,-0.326315346024,-1.69082333294
22.5017784306,-0.34009271968,-1.76439722182
22.9409989245,-0.35376190341,-1.80070888849
23.3974280359,-0.368259015827,-1.83772777735
23.8366306753,-0.382490328789,-1.87403944402
24.2586075491,-0.396428592388,-1.90964388843
24.6977919799,-0.411211169257,-1.94595555511
25.1369669539,-0.426272079846,-1.98226722174
25.5849040888,-0.441990618827,-2.03720999954
26.0068395572,-0.457130556789,-2.07281444399
26.4456521554,-0.473011668277,-2.07257111064
26.8935639599,-0.489436181244,-2.1275138884
27.3411321386,-0.506134897874,-2.14590166617
27.7890225553,-0.523132661472,-2.20084444393
