0,-210
0.0,-210.0,0.0
0.129029397971,-209.999985392,0.0129733333304
0.249612361334,-209.999963298,0.008022777776
0.447546306648,-209.99991806,0.0181672222183
0.679932515034,-209.999826672,0.0268972222163
0.912652003973,-209.999773931,-0.000927777777447
1.16259762772,-209.999840213,-0.0294599999932
1.44699544992,-210.000060766,-0.0594066666496
1.76551220941,-210.00037658,-0.0542127777653
2.82475232714,-210.001611918,-0.0794294444262
3.19528040045,-210.002233849,-0.112912222196
3.58303413496,-210.003113685,-0.147102222168
3.98801333493,-210.00427677,-0.181999444396
4.40143835862,-210.005651252,-0.198972777725
4.79763694105,-210.007083388,-0.215238888833
5.21984045622,-210.008800641,-0.250843333283
5.64204282275,-210.010780256,-0.286447777733
6.07269054968,-210.012999726,-0.304128333285
6.50367004956,-210.015491391,-0.358363888786
7.00288544435,-210.018543935,-0.342318333242
7.39030004523,-210.020850606,-0.339953333262
8.28604168265,-210.026452856,-0.376728888775
8.73391110679,-210.029469581,-0.395116666584
9.19900522825,-210.032754466,-0.414211666579
9.67287711076,-210.036336333,-0.451937777696
10.1379677459,-210.040082457,-0.471032777657
10.5854995131,-210.043690775,-0.452865555445
11.0505900874,-210.047444431,-0.471960555441
11.5241261392,-210.051350001,-0.473131666538
11.9804365852,-210.055120012,-0.473595555448
12.445525771,-210.05904194,-0.492690555443
12.9281709392,-210.063429731,-0.549047777645
13.393254557,-210.067964127,-0.568142777641
13.849558124,-210.072490811,-0.56860666655
14.7969457904,-210.082214667,-0.607503888764
15.2623561524,-210.087375619,-0.663153888745
15.7358765351,-210.092861332,-0.664324999842
16.2185063938,-210.098694907,-0.720682222044
16.6923523384,-210.104811413,-0.75840833316
17.174640833,-210.111279062,-0.778210555379
17.6484803973,-210.117871335,-0.81593666646
18.6049223516,-210.132278174,-0.910019999814
19.0871920435,-210.140021994,-0.929822221996
19.5697896892,-210.148091908,-0.986179444234
20.0348251771,-210.156174441,-1.00527444423
20.5174117772,-210.164879876,-1.06163166643
21.008435952,-210.174143833,-1.10006499977
21.499783896,-210.183900412,-1.17505333306
21.9563440969,-210.193412667,-1.21207222195
22.4216740942,-210.203484115,-1.26772222193
22.9042157558,-210.214399977,-1.32407944414
23.3779710106,-210.22550625,-1.36180555522
23.8517188499,-210.236924463,-1.39953166633
24.3082382788,-210.248225392,-1.43655055523
24.7735252461,-210.260119868,-1.49220055521
25.2388004412,-210.27246626,-1.54785055519
25.7125087069,-210.285422715,-1.58557666631
26.168989034,-210.298205945,-1.6225955552
26.6251320263,-210.311129051,-1.62305944408
27.0988228768,-210.324707304,-1.66078555516
28.045853079,-210.352487515,-1.69968277741
28.5198538825,-210.366860439,-1.77396388847
28.9935073279,-210.381686242,-1.81168999959
29.4668226182,-210.396662282,-1.81286111069
29.9492385818,-210.412168708,-1.86921833292
30.8964844845,-210.443707027,-1.94467055512
31.3528757297,-210.459350919,-1.98168944398
31.826144502,-210.475731241,-1.98286055508
32.2906411028,-210.491741844,-1.96540055512
32.7726863501,-210.508367191,-1.98520277745
33.2290664142,-210.524333939,-2.02222166631
33.7023234803,-210.541049057,-2.02339277726
34.1668086384,-210.557388251,-2.0059327773
34.648842004,-210.574354602,-2.02573499952
35.1305418544,-210.591322049,-2.00898222179
35.6213457443,-210.608703153,-2.04741555492
36.0952505885,-210.625952545,-2.12169666613
36.5775759617,-210.64405905,-2.1780538883
37.9972044199,-210.698094705,-2.18156722152
38.4619700829,-210.71587702,-2.20066222151
39.4265513071,-210.753893876,-2.3133766662
39.8997173235,-210.773013678,-2.31454777716
40.8973634596,-210.813057164,-2.28245666613
41.3533273731,-210.831232581,-2.28292055522
41.8265034859,-210.850100864,-2.28409166617
42.3172182619,-210.869838386,-2.3225249993
42.8079196877,-210.889905069,-2.36095833278
43.2813963888,-210.909582581,-2.39868444369
44.2536461695,-210.95049383,-2.42036499978
44.7355442051,-210.970946354,-2.44016722165
45.2086667525,-210.991113183,-2.44133833261
45.6993255116,-211.012197382,-2.47977166609
46.181202082,-211.033149547,-2.4995738883
46.6715130734,-211.054561386,-2.50145222183
48.5645259212,-211.138547812,-2.57924666591
49.0463653892,-211.160336563,-2.59904888813
49.5197562332,-211.181981416,-2.63677499939
49.9934585774,-211.204104519,-2.71105611059
50.4836871968,-211.227325976,-2.71293444378
50.965800052,-211.250408566,-2.76929166594
51.4391244931,-211.273459905,-2.8070177772
51.9124336535,-211.296822898,-2.8447438881
52.4029318037,-211.321361153,-2.88317722159
52.8674448752,-211.344833237,-2.90227222158
53.3322753562,-211.36862534,-2.95792222152
53.8314876935,-211.394669606,-3.01498666591
54.3134721629,-211.420293469,-3.07134388808
54.7947821763,-211.446048297,-3.05459111034
55.2679859678,-211.471456219,-3.0923172216
55.7499354145,-211.49773058,-3.14867444342
56.2143347346,-211.523354865,-3.16776944377
56.6790499777,-211.549300636,-3.22341944371
57.1525009803,-211.576272675,-3.29770055457
57.6255927051,-211.603688195,-3.33542666582
58.0986662758,-211.631415214,-3.37315277708
59.0191227554,-211.686414579,-3.46582166606
59.4924554101,-211.715389407,-3.54010277692
59.956992235,-211.744354535,-3.59575277686
60.4211774733,-211.773601706,-3.61484777721
60.9109788202,-211.804552888,-3.61672611004
61.3923447809,-211.835062466,-3.6365283326
61.8565090872,-211.864639975,-3.6556233326
62.3290973997,-211.894838198,-3.65679444356
62.8107646066,-211.925859367,-3.71315166572
63.2839677755,-211.956877165,-3.78743277694
