476,255
476,270
476,450
476,465
473,480
461,510
431,540
401,580
371,610
341,635
311,660
281,690
265,720
240,750
240,900
255,930
270,960
280,990
280,1020
295,1050
305,1080
335,1110
355,1140
385,1170
405,1200
435,1230
465,1260
495,1290
495,1320
495,1350
480,1350
480,1380
465,1410
435,1440
405,1455
375,1470
345,1470
315,1455
300,1440
270,1430
240,1420
210,1390
195,1360
195,1270
205,1240
235,1180
280,1150
325,1120
355,1090
445,1000
460,970
460,790
430,760 
410,730 
380,700 
360,670 
330,640
240,550
225,535
210,505
200,475
200,325
230,295
320,295
350,285
380,290
410,290
440,295
470,295
470,300
