1499.99999382,1499.99115118
1499.99999382,1499.99115118
1499.99999382,1499.99115118
1499.99999382,1499.99115118
1499.99999382,1499.99115118
1499.99999382,1499.99115118
1499.99415297,1499.59299715
1499.98452654,1499.07100557
1499.95210589,1497.67326807
1499.90458883,1495.79792027
1499.87399448,1494.73650279
1499.83307334,1493.56917567
1499.77791542,1492.32271196
1499.71229222,1491.08561657
1499.6381445,1489.80468202
1499.55356331,1488.45345729
1499.46055226,1487.0673097
1499.36243176,1485.69038552
1499.25426873,1484.25208929
1499.03167124,1481.33160092
1498.91957934,1479.83148368
1498.80895942,1478.34013016
1498.57838171,1475.31375622
1498.45860124,1473.79647996
1498.33427929,1472.27956906
1498.20054927,1470.73681085
1498.05995487,1469.20354879
1497.91192872,1467.6620966
1497.75604014,1466.10363272
1497.59354527,1464.52805121
1497.42191362,1462.90893983
1497.07011501,1459.67163323
1496.88916009,1458.03573055
1496.70623579,1456.4089512
1496.5172282,1454.7650519
1496.3205719,1453.10422745
1496.1204336,1451.47056074
1495.91345814,1449.83774617
1495.6954228,1448.17066834
1495.47283516,1446.51312006
1495.24042523,1444.81225418
1495.01143179,1443.17344645
1494.77216756,1441.50034352
1494.52724603,1439.81911666
1494.27558499,1438.15678258
1494.0129266,1436.50511006
1493.73937595,1434.84623757
1493.4567366,1433.170939
1493.17271756,1431.51382674
1492.88579072,1429.85721548
1492.59048275,1428.16613525
1491.99502659,1424.79380894
1491.69468618,1423.12159306
1491.38833595,1421.44147225
1491.0767595,1419.75331371
1490.75878109,1418.05734549
1490.43814104,1416.37088497
1489.47293371,1411.34816782
1489.14991591,1409.68919817
1488.8191396,1408.02273565
1488.47854462,1406.34922095
1488.13028167,1404.68632491
1487.77278745,1403.02538898
1487.41059994,1401.38358872
1487.03640756,1399.71726448
1486.28633601,1396.4122113
1485.94857057,1394.94632221
1485.62379748,1393.57735717
1485.29873871,1392.26308968
1484.97367678,1391.01272505
1484.63763818,1389.78360337
1484.29925895,1388.60107863
1483.95294022,1387.44854672
1483.59625971,1386.31772287
1483.23350586,1385.216749
1482.8682545,1384.15396115
1482.49594002,1383.11240248
1482.1201593,1382.10036003
1481.73579116,1381.1010228
1481.34089862,1380.10579737
1480.94004235,1379.12250833
1480.54436218,1378.17537393
1480.13994496,1377.23193708
1479.73636622,1376.31708334
1479.31910059,1375.3986624
1478.85893839,1374.41231778
1478.43221119,1373.51782395
1477.99856671,1372.62666304
1477.54602487,1371.71521113
1477.08163468,1370.79980514
1476.61706666,1369.90438111
1476.13658163,1368.99731964
1475.64763984,1368.09478859
1475.15362836,1367.20513059
1474.65524648,1366.32807692
1474.15140102,1365.46437968
1473.64204992,1364.61421689
1473.12336476,1363.76971644
1472.5859155,1362.91604442
1472.05855299,1362.09791351
1471.52242127,1361.28550218
1470.98306284,1360.48588112
1470.43572184,1359.69170282
1469.87502477,1358.89604699
1469.31222983,1358.11274424
1468.74319758,1357.3339608
1468.13553817,1356.51769568
1467.58892546,1355.79945865
1467.00168233,1355.04549884
1466.41137717,1354.30521858
1465.79510318,1353.55178923
1465.16909985,1352.80642407
1464.54553926,1352.08221271
1463.91436546,1351.36462681
1463.26493056,1350.63958632
1462.60974947,1349.91973415
1461.94848504,1349.20546618
1461.28661236,1348.50387804
1460.60670551,1347.7950193
1459.91499215,1347.08526727
1459.2174953,1346.38119805
1458.51404094,1345.68308111
1457.80386541,1344.99180257
1457.07987507,1344.30211339
1456.36151943,1343.63224831
1455.63655368,1342.96954271
1454.9174966,1342.32669104
1454.20406546,1341.70420324
1453.47672568,1341.08429458
1452.75628987,1340.48365404
1452.02961733,1339.89057409
1451.28358938,1339.29328672
1450.54552725,1338.71444209
1449.79426505,1338.13817814
1449.03707024,1337.56973194
1448.26680651,1337.00404326
1447.49768157,1336.45184594
1446.72175331,1335.90924997
1445.93135624,1335.37205133
1445.12669441,1334.84024245
1444.33062818,1334.32764746
1443.53662674,1333.82828935
1442.72274822,1333.32737853
1441.90420546,1332.83412642
1441.07316989,1332.34455392
1440.22965075,1331.85883294
1439.38109511,1331.38196534
1438.53518364,1330.91857011
1437.67674177,1330.45973795
1436.82135742,1330.01407109
1435.9451355,1329.57023643
1435.07965266,1329.14451257
1434.20971336,1328.72797091
1433.33521543,1328.32108675
1432.46368674,1327.92898007
1431.57950032,1327.54360269
1430.69142272,1327.167279
1429.79125282,1326.79695002
1428.81338974,1326.40629315
1427.97215583,1326.07922223
1427.06995022,1325.73815568
1426.14795945,1325.39950089
1425.23079219,1325.07353523
1424.31799016,1324.76193644
1423.37607649,1324.4536931
1422.45568719,1324.16527523
1421.54013755,1323.89127018
1420.59574026,1323.62132979
1419.6483693,1323.36201857
1418.70686991,1323.11497951
1417.75417781,1322.87595689
1416.80753871,1322.64940931
1415.84962848,1322.43224108
1414.88064456,1322.22418943
1413.89238192,1322.02184173
1412.91943099,1321.83321039
1411.93567673,1321.65415528
1410.94133219,1321.48419478
1409.95385341,1321.32697252
1408.98189189,1321.18539268
1408.01676866,1321.05895479
1407.05872968,1320.94731851
1406.11691599,1320.85004558
1405.16517212,1320.76348048
1404.22133812,1320.68829779
1403.2767452,1320.62334192
1402.322666,1320.56818045
1401.36807608,1320.5227054
1400.42192198,1320.48710394
1399.46659952,1320.46124088
1398.502222,1320.44458693
1397.53772947,1320.43713716
1396.57321012,1320.43907786
1395.60874175,1320.44918339
1394.64438276,1320.4668772
1393.67135311,1320.49262045
1392.68976886,1320.52792499
1391.71744109,1320.57295935
1390.73681627,1320.62889691
1389.73918513,1320.69646387
